img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 2.31, pts_middle_encoder: 2.06, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.62
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 2.16, pts_middle_encoder: 1.94, pts_backbone: 1.74, pts_neck: 0.33, pts_bbox_head: 12.32
img_backbone: 1.36, img_neck: 0.25, pts_voxel_encoder: 2.18, pts_middle_encoder: 1.97, pts_backbone: 1.75, pts_neck: 0.35, pts_bbox_head: 12.36
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 2.18, pts_middle_encoder: 2.02, pts_backbone: 1.74, pts_neck: 0.32, pts_bbox_head: 12.35
img_backbone: 1.37, img_neck: 0.26, pts_voxel_encoder: 2.20, pts_middle_encoder: 2.05, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.35
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 2.22, pts_middle_encoder: 2.06, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.36
img_backbone: 1.36, img_neck: 0.36, pts_voxel_encoder: 2.20, pts_middle_encoder: 2.05, pts_backbone: 1.74, pts_neck: 0.33, pts_bbox_head: 13.57
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 2.19, pts_middle_encoder: 2.03, pts_backbone: 1.74, pts_neck: 0.33, pts_bbox_head: 12.35
img_backbone: 1.36, img_neck: 0.27, pts_voxel_encoder: 2.23, pts_middle_encoder: 2.06, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.35
img_backbone: 1.39, img_neck: 0.27, pts_voxel_encoder: 2.26, pts_middle_encoder: 2.06, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 1.38, img_neck: 0.28, pts_voxel_encoder: 2.24, pts_middle_encoder: 2.13, pts_backbone: 1.74, pts_neck: 0.33, pts_bbox_head: 12.31
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 2.26, pts_middle_encoder: 2.07, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
