img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 9.78, pts_middle_encoder: 2.46, pts_backbone: 1.80, pts_neck: 0.33, pts_bbox_head: 12.56
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 8.88, pts_middle_encoder: 2.36, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 1.36, img_neck: 0.25, pts_voxel_encoder: 7.61, pts_middle_encoder: 2.35, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.27
img_backbone: 1.36, img_neck: 0.25, pts_voxel_encoder: 10.04, pts_middle_encoder: 2.42, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.27
img_backbone: 1.37, img_neck: 0.26, pts_voxel_encoder: 10.48, pts_middle_encoder: 2.55, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.45
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 8.66, pts_middle_encoder: 2.42, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.26
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 7.00, pts_middle_encoder: 2.47, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.36
img_backbone: 1.37, img_neck: 0.28, pts_voxel_encoder: 5.77, pts_middle_encoder: 2.52, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.50
img_backbone: 1.37, img_neck: 0.29, pts_voxel_encoder: 5.65, pts_middle_encoder: 2.64, pts_backbone: 1.80, pts_neck: 0.33, pts_bbox_head: 12.40
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 5.64, pts_middle_encoder: 2.41, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.25
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 5.46, pts_middle_encoder: 2.42, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.29
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 5.68, pts_middle_encoder: 2.59, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.46
img_backbone: 1.36, img_neck: 0.26, pts_voxel_encoder: 5.57, pts_middle_encoder: 2.41, pts_backbone: 1.76, pts_neck: 0.32, pts_bbox_head: 12.27
img_backbone: 1.37, img_neck: 0.28, pts_voxel_encoder: 5.88, pts_middle_encoder: 2.56, pts_backbone: 1.80, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 1.36, img_neck: 0.27, pts_voxel_encoder: 6.29, pts_middle_encoder: 2.43, pts_backbone: 1.75, pts_neck: 0.34, pts_bbox_head: 12.36
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 6.15, pts_middle_encoder: 2.47, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.45
img_backbone: 1.36, img_neck: 0.27, pts_voxel_encoder: 6.83, pts_middle_encoder: 2.52, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.34
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 7.12, pts_middle_encoder: 2.57, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.46
img_backbone: 1.36, img_neck: 0.27, pts_voxel_encoder: 6.08, pts_middle_encoder: 2.51, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 5.46, pts_middle_encoder: 2.40, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 5.58, pts_middle_encoder: 2.48, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.35
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 5.77, pts_middle_encoder: 2.62, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.52
img_backbone: 1.36, img_neck: 0.27, pts_voxel_encoder: 6.14, pts_middle_encoder: 2.57, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.51
img_backbone: 1.37, img_neck: 0.27, pts_voxel_encoder: 5.97, pts_middle_encoder: 2.49, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 1.36, img_neck: 0.27, pts_voxel_encoder: 6.20, pts_middle_encoder: 2.40, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 1.37, img_neck: 0.26, pts_voxel_encoder: 7.34, pts_middle_encoder: 2.49, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.41
