img_backbone: 17.17, img_neck: 0.32, pts_voxel_encoder: 3.75, pts_middle_encoder: 5.39, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.62
img_backbone: 17.16, img_neck: 0.33, pts_voxel_encoder: 3.51, pts_middle_encoder: 5.30, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.36
img_backbone: 17.15, img_neck: 0.32, pts_voxel_encoder: 3.55, pts_middle_encoder: 5.22, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.33
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 3.62, pts_middle_encoder: 5.27, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 17.19, img_neck: 0.53, pts_voxel_encoder: 3.61, pts_middle_encoder: 5.30, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.52
img_backbone: 17.22, img_neck: 0.32, pts_voxel_encoder: 3.67, pts_middle_encoder: 7.47, pts_backbone: 1.77, pts_neck: 0.42, pts_bbox_head: 12.38
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 3.55, pts_middle_encoder: 5.31, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.45
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 3.56, pts_middle_encoder: 5.38, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.20, img_neck: 0.36, pts_voxel_encoder: 3.57, pts_middle_encoder: 5.26, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.51
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 3.97, pts_middle_encoder: 7.55, pts_backbone: 1.79, pts_neck: 0.37, pts_bbox_head: 12.36
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 3.60, pts_middle_encoder: 5.31, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 3.58, pts_middle_encoder: 5.31, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.20, img_neck: 0.36, pts_voxel_encoder: 3.66, pts_middle_encoder: 5.28, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.59
img_backbone: 17.21, img_neck: 0.32, pts_voxel_encoder: 4.07, pts_middle_encoder: 7.33, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.36
img_backbone: 17.20, img_neck: 0.34, pts_voxel_encoder: 3.73, pts_middle_encoder: 5.44, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.19, img_neck: 0.36, pts_voxel_encoder: 3.67, pts_middle_encoder: 5.16, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.53
img_backbone: 17.21, img_neck: 0.34, pts_voxel_encoder: 3.73, pts_middle_encoder: 5.32, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.49
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 4.06, pts_middle_encoder: 7.47, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.20, img_neck: 0.34, pts_voxel_encoder: 3.66, pts_middle_encoder: 5.23, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.44
