img_backbone: 64.05, img_neck: 22.66, pts_voxel_encoder: 145.06, pts_middle_encoder: 66.26, pts_backbone: 99.12, pts_neck: 28.22, pts_bbox_head: 114.37
img_backbone: 17.17, img_neck: 0.33, pts_voxel_encoder: 3.47, pts_middle_encoder: 5.79, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.65
img_backbone: 17.14, img_neck: 0.32, pts_voxel_encoder: 3.19, pts_middle_encoder: 5.52, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.14, img_neck: 0.32, pts_voxel_encoder: 3.36, pts_middle_encoder: 5.89, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.54
img_backbone: 17.11, img_neck: 0.33, pts_voxel_encoder: 3.40, pts_middle_encoder: 114.63, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.69
img_backbone: 17.15, img_neck: 0.32, pts_voxel_encoder: 3.44, pts_middle_encoder: 6.13, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.47
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 3.32, pts_middle_encoder: 6.11, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.45
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 3.31, pts_middle_encoder: 6.60, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.17, img_neck: 0.34, pts_voxel_encoder: 3.25, pts_middle_encoder: 7.09, pts_backbone: 1.75, pts_neck: 0.34, pts_bbox_head: 12.62
img_backbone: 17.18, img_neck: 0.34, pts_voxel_encoder: 3.25, pts_middle_encoder: 7.43, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.43
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 3.21, pts_middle_encoder: 7.38, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.38
img_backbone: 17.18, img_neck: 0.34, pts_voxel_encoder: 3.25, pts_middle_encoder: 7.81, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.48
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 3.27, pts_middle_encoder: 7.55, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.49
img_backbone: 17.18, img_neck: 0.34, pts_voxel_encoder: 3.29, pts_middle_encoder: 7.43, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.62
img_backbone: 17.18, img_neck: 0.41, pts_voxel_encoder: 3.39, pts_middle_encoder: 7.12, pts_backbone: 1.78, pts_neck: 0.34, pts_bbox_head: 12.57
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 3.27, pts_middle_encoder: 6.52, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.34
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 3.17, pts_middle_encoder: 6.67, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.18, img_neck: 0.34, pts_voxel_encoder: 3.22, pts_middle_encoder: 8.65, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.50
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 3.28, pts_middle_encoder: 8.15, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 3.27, pts_middle_encoder: 7.46, pts_backbone: 1.77, pts_neck: 0.35, pts_bbox_head: 12.47
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 3.17, pts_middle_encoder: 7.04, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 3.16, pts_middle_encoder: 6.82, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.51
img_backbone: 17.19, img_neck: 0.34, pts_voxel_encoder: 3.18, pts_middle_encoder: 8.46, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.54
img_backbone: 17.19, img_neck: 0.34, pts_voxel_encoder: 3.25, pts_middle_encoder: 7.87, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.45
