img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.93, pts_middle_encoder: 9.90, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.14, pts_middle_encoder: 9.50, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.40
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 8.38, pts_middle_encoder: 9.26, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.36
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 8.18, pts_middle_encoder: 8.39, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.38
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 3.69, pts_middle_encoder: 5.64, pts_backbone: 1.74, pts_neck: 0.34, pts_bbox_head: 12.34
img_backbone: 17.17, img_neck: 0.32, pts_voxel_encoder: 7.84, pts_middle_encoder: 11.79, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.81, pts_middle_encoder: 12.62, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.46
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 7.83, pts_middle_encoder: 12.96, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.93, pts_middle_encoder: 12.40, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.36
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.91, pts_middle_encoder: 11.69, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 7.70, pts_middle_encoder: 11.11, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.43
img_backbone: 17.20, img_neck: 0.40, pts_voxel_encoder: 7.96, pts_middle_encoder: 11.14, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.37
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.89, pts_middle_encoder: 11.30, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.37
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 7.95, pts_middle_encoder: 11.25, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.39
img_backbone: 17.17, img_neck: 0.33, pts_voxel_encoder: 7.65, pts_middle_encoder: 11.26, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.19, img_neck: 0.32, pts_voxel_encoder: 7.68, pts_middle_encoder: 11.26, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.61, pts_middle_encoder: 11.02, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.67, pts_middle_encoder: 11.07, pts_backbone: 1.80, pts_neck: 0.34, pts_bbox_head: 12.47
img_backbone: 17.23, img_neck: 0.34, pts_voxel_encoder: 7.51, pts_middle_encoder: 10.11, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.40
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 7.47, pts_middle_encoder: 9.75, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.57
img_backbone: 17.19, img_neck: 0.32, pts_voxel_encoder: 7.70, pts_middle_encoder: 9.61, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.60, pts_middle_encoder: 9.35, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 7.50, pts_middle_encoder: 9.38, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 7.55, pts_middle_encoder: 9.43, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.52
img_backbone: 17.19, img_neck: 0.32, pts_voxel_encoder: 7.57, pts_middle_encoder: 9.56, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 7.47, pts_middle_encoder: 10.28, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 7.67, pts_middle_encoder: 10.85, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.64, pts_middle_encoder: 11.19, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 7.66, pts_middle_encoder: 11.50, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.59, pts_middle_encoder: 11.59, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.44, pts_middle_encoder: 11.62, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 7.60, pts_middle_encoder: 11.65, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.78, pts_middle_encoder: 11.12, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.40
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.65, pts_middle_encoder: 10.83, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.19, img_neck: 0.34, pts_voxel_encoder: 7.67, pts_middle_encoder: 10.63, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.46
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.58, pts_middle_encoder: 10.94, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.24, img_neck: 0.32, pts_voxel_encoder: 7.69, pts_middle_encoder: 11.20, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.51
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.64, pts_middle_encoder: 11.19, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.19, img_neck: 0.34, pts_voxel_encoder: 7.60, pts_middle_encoder: 11.09, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.24, img_neck: 0.32, pts_voxel_encoder: 7.75, pts_middle_encoder: 10.99, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 7.67, pts_middle_encoder: 10.72, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 7.75, pts_middle_encoder: 10.25, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 7.67, pts_middle_encoder: 9.65, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.87, pts_middle_encoder: 9.99, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 3.92, pts_middle_encoder: 5.53, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 17.22, img_neck: 0.34, pts_voxel_encoder: 8.04, pts_middle_encoder: 10.32, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.38
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 8.33, pts_middle_encoder: 10.89, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 17.17, img_neck: 0.32, pts_voxel_encoder: 8.17, pts_middle_encoder: 10.85, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 8.11, pts_middle_encoder: 10.89, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 8.36, pts_middle_encoder: 10.89, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 8.13, pts_middle_encoder: 11.05, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.50
